country_id,fatalities
24,1
35,0
8,0
8,0
3,0
11,4
38,1
39,0
44,41
8,0
7,0
4,0
11,0
39,0
38,1
8,7
35,0
35,0
5,0
24,0
24,0
8,0
38,0
31,0
38,0
45,1
28,0
46,0
38,0
38,0
21,0
13,0
48,0
10,0
33,1
24,0
4,0
17,0
8,0
22,0
6,0
38,0
48,7
24,0
4,27
39,0
6,0
27,0
25,0
11,0
26,0
38,1
48,0
30,0
21,0
44,0
45,1
44,0
8,0
33,0
9,0
8,1
2,1
15,0
15,0
48,1
4,0
27,4
6,100
39,0
35,0
44,1
22,0
45,1
45,5
16,0
46,0
9,0
43,0
9,12
11,9
46,2
16,0
39,0
22,0
9,0
11,1
33,0
8,0
4,3
8,0
44,11
4,0
21,0
48,0
4,100
8,0
35,1000
8,1
27,3
12,0
44,0
11,0
4,1
22,0
21,0
39,0
46,0
11,10
4,59
35,0
38,0
22,0
11,0
44,0
8,10
8,0
11,0
21,0
3,0
1,0
39,0
8,0
39,0
8,0
28,0
8,0
43,0
8,3
27,1
21,0
45,0
21,0
4,11
8,2
4,0
27,2
38,2
44,0
8,2
39,0
46,1
44,0
16,14
4,0
8,1
39,1
6,6
49,0
39,0
21,0
8,2
17,0
39,0
21,0
41,2
8,0
45,8
8,0
46,1
38,0
4,0
48,370
6,2
11,0
28,0
4,0
48,3
38,18
1,0
48,0
22,0
8,0
8,0
11,0
8,0
8,0
8,1
35,0
6,0
44,0
17,0
39,0
48,0
8,0
43,0
4,0
38,0
24,0
9,0
8,0
11,2
46,0
15,2
48,0
8,8
35,0
8,0
39,0
38,4
39,1
8,0
38,30
48,0
8,8
31,0
16,0
24,0
24,15
39,0
31,2
4,23
12,0
28,0
16,0
22,0
43,0
46,0
11,0
39,0
45,0
8,0
16,1
46,0
31,0
46,0
16,1
22,0
47,0
22,0
8,2
4,0
33,1
48,0
11,5
8,1
48,18
39,0
8,2
6,1
4,0
35,0
17,0
11,3
24,0
9,0
45,5
28,0
8,0
47,5
21,0
16,2
48,4
24,85
8,0
18,0
11,0
27,0
39,0
5,0
48,0
8,0
46,3
4,0
9,0
39,0
35,0
45,3
4,0
46,0
16,2
8,1
8,0
27,2
44,4
45,0
39,0
48,0
8,0
8,5
38,0
48,0
4,0
10,0
8,0
45,0
39,0
11,0
22,0
46,0
8,0
38,0
35,0
11,0
44,3
48,0
8,0
21,0
6,17
48,1
48,0
11,7
43,0
11,10
8,0
35,0
21,0
48,1
8,1
48,0
27,1
11,2
8,0
48,0
27,5
45,0
31,0
35,0
4,0
8,0
44,0
8,0
9,0
22,0
38,0
20,0
8,0
38,0
35,0
38,0
22,0
4,0
3,0
44,1
21,0
16,0
38,0
41,0
6,0
31,0
38,0
8,2
31,1
38,0
8,0
48,0
8,0
46,0
48,0
44,1
3,0
39,0
8,0
39,0
31,2
22,0
38,0
4,1
45,7
4,0
44,0
18,0
48,0
11,2
11,1
27,0
24,0
8,10
8,0
27,0
17,0
24,1
8,0
44,0
27,20
35,0
33,3
34,0
11,3
38,1
4,0
11,70
39,0
38,5
4,0
43,2
38,0
44,7
48,1
24,0
44,0
48,31
48,0
33,0
35,30
11,0
35,100
3,0
11,10
8,0
48,0
13,0
48,15
8,5
8,0
11,0
8,0
4,0
38,0
38,0
3,0
26,0
4,0
38,0
8,0
24,1
39,1
8,1
11,2
38,16
8,0
22,0
23,0
4,25
46,0
36,18
39,0
11,0
38,0
4,17
38,0
18,1
45,0
8,0
35,0
16,0
21,0
8,2
38,0
11,0
46,0
21,0
1,0
29,0
48,0
48,0
39,0
38,0
6,38
11,1
39,0
8,0
48,0
19,0
8,0
11,0
11,0
13,0
21,2
45,1
28,0
22,0
8,1
48,0
9,0
43,0
39,0
8,0
24,0
39,1
21,0
39,0
44,52
8,2
38,0
8,6
24,2
21,0
22,0
25,0
30,0
8,0
22,0
4,0
48,25
21,0
43,3
24,0
4,0
31,3
44,6
46,0
3,0
24,0
22,0
39,0
21,0
46,2
8,0
39,0
6,5
39,0
48,0
27,2
34,0
38,0
42,0
22,0
21,0
11,0
22,0
31,2
39,0
5,0
8,10
33,0
8,0
3,0
44,0
18,49
4,0
44,0
21,0
38,0
23,0
10,0
48,0
33,0
39,0
22,0
8,0
16,1
38,1
27,0
38,2
11,0
8,0
9,0
27,0
22,0
4,0
11,20
39,0
21,0
48,6
21,0
8,0
21,0
35,0
3,2
4,0
8,2
12,3
22,0
48,0
31,1
26,0
8,6
21,0
33,0
11,7
31,10
4,0
46,0
48,0
6,0
48,0
1,0
11,0
42,0
39,0
8,0
31,1
8,0
24,0
46,0
16,0
8,5
4,0
8,0
7,26
35,0
9,0
4,1
36,0
17,0
17,0
44,0
4,0
38,0
38,0
33,0
21,0
38,0
8,12
8,1
4,0
46,0
21,4
24,5
8,2
19,0
18,0
4,0
16,0
8,0
22,0
35,1
27,4
39,0
48,0
8,4
1,2
4,0
38,0
11,0
29,0
38,0
38,0
20,3
45,0
4,1
45,0
4,0
8,2
8,3
18,18
48,0
8,0
38,0
42,0
4,16
43,0
22,0
9,0
45,11
8,0
8,0
21,0
4,0
26,1
8,5
48,0
46,0
5,0
38,0
21,0
48,0
8,0
38,0
21,0
27,0
22,0
4,1
8,0
8,0
11,15
35,4
8,2
8,0
21,0
21,0
18,0
13,21
27,1
38,0
35,0
8,0
38,0
1,0
29,0
21,0
11,0
11,4
16,4
16,125
22,0
48,2
19,0
48,0
44,0
8,0
39,0
48,0
27,3
24,0
12,0
17,0
21,0
21,0
31,0
39,0
39,0
10,0
4,25
24,2
39,0
8,1
27,1
8,0
47,0
28,0
48,70
29,0
46,0
21,0
38,0
1,0
8,0
42,0
48,0
8,0
16,2
33,0
28,0
21,0
46,0
8,0
8,0
26,7
16,9
8,0
11,8
46,0
4,0
44,3
35,0
8,4
11,0
46,0
48,0
11,0
8,0
24,0
48,0
11,2
16,0
38,0
48,0
8,2
21,0
24,2
35,0
39,0
39,0
6,0
46,0
4,0
15,0
44,7
48,0
48,0
21,0
16,6
8,1
43,0
11,0
44,0
22,0
38,0
4,1
43,0
39,0
44,15
38,0
8,0
27,0
9,0
6,8
8,1
21,0
39,0
8,0
31,0
4,0
22,0
4,0
8,0
17,0
47,0
38,5
44,4
9,0
44,9
22,0
11,0
11,9
21,0
38,0
39,0
38,5
22,0
45,4
8,0
4,0
24,0
38,0
38,0
22,0
22,0
11,1
46,0
35,0
44,3
8,1
24,1
35,0
11,2
45,0
31,0
8,0
8,1
48,9
11,0
24,0
48,0
8,3
11,5
38,0
8,4
22,0
4,6
18,24
8,0
48,23
16,0
38,3
48,0
22,0
22,0
36,0
11,0
8,0
8,0
8,2
21,0
48,0
8,0
21,1
48,26
1,0
44,1
38,0
36,0
27,1
8,2
8,0
18,0
46,3
8,0
5,1
48,0
35,40
8,0
48,0
44,0
6,40
38,0
38,0
27,5
48,2
6,60
35,0
43,0
8,10
8,5
21,0
48,0
24,0
11,5
39,0
9,0
7,18
8,0
8,2
19,0
39,0
48,0
11,0
16,85
38,0
29,0
46,0
8,1
43,0
11,0
24,0
4,0
8,0
45,5
21,0
8,0
38,0
8,1
44,0
38,2
45,3
31,0
48,0
8,0
22,0
8,0
21,0
39,0
24,5
15,0
4,34
31,10
27,0
24,10
8,0
46,0
8,0
39,0
38,0
22,0
34,0
35,0
47,0
8,0
8,0
48,0
38,1
36,0
38,0
8,0
38,0
22,0
31,0
19,0
11,0
38,0
24,0
46,11
39,0
8,2
6,0
18,0
46,0
46,7
48,0
21,0
9,0
21,0
38,0
8,0
34,0
22,0
8,0
4,0
38,0
8,1
48,0
9,10
40,0
11,0
42,0
38,0
11,3
8,1
24,1
22,0
22,0
4,2
4,0
13,0
21,0
34,0
4,3
8,0
38,0
42,0
44,0
33,0
48,0
11,6
4,0
44,0
11,0
47,0
42,0
23,0
8,5
35,0
11,0
48,0
42,0
48,1
31,0
35,0
11,1
4,0
48,0
48,0
48,0
11,17
33,0
16,0
8,5
45,3
38,0
4,0
38,0
9,0
38,0
8,0
17,0
4,3
22,0
8,0
11,0
8,0
8,1
38,0
43,4
8,0
21,0
35,0
22,0
8,2
48,3
35,20
46,0
8,0
38,0
16,0
39,0
45,0
48,4
4,5
24,0
45,0
48,1
22,0
33,1
48,1
8,0
39,0
43,0
39,0
46,0
46,0
8,0
39,0
39,0
48,0
11,0
39,0
48,29
4,500
11,0
22,0
39,0
8,0
44,5
9,0
39,0
6,0
11,5
48,0
48,1
44,1
27,0
21,0
22,0
8,1
24,0
44,2
8,0
18,0
8,0
38,2
33,0
39,0
8,1
31,0
16,0
31,0
8,0
21,0
46,0
8,0
27,0
48,0
48,0
8,0
35,0
9,0
11,2
35,0
21,0
4,411
3,0
24,1
35,10
48,100
27,0
22,0
22,0
21,0
43,1
38,0
17,0
31,0
8,0
11,0
48,1
22,0
31,1
8,0
46,0
11,6
10,0
31,2
38,1
4,0
8,0
23,0
3,0
4,5
10,0
48,0
8,0
28,0
8,0
28,0
11,20
22,0
48,0
39,3
21,0
22,0
8,1
12,0
46,0
38,0
8,1
16,0
38,0
48,0
4,0
27,0
16,5
35,1
39,0
8,0
11,0
27,0
4,0
24,2
8,1
22,0
12,7
48,0
45,0
48,4
24,0
8,0
8,1
3,11
39,0
39,0
21,0
22,0
8,0
4,0
43,0
24,0
48,0
8,0
38,0
27,5
43,0
48,0
16,4
11,631
22,0
24,0
