event_date,country_id,latitud,longitud,fatalities
2014-06-02,31,8.6,33.06667,0
2004-03-15,24,24.16667,23.26962,0
2013-07-29,26,-6.8167,39.2833,0
2003-08-01,3,6.31,-10.8,0
2001-11-04,27,4.36197,18.58664,0
2006-03-12,48,-2.08721,28.64636,1
2006-12-21,11,5.25114,6.61298,0
2015-10-03,39,-29.96667,30.88333,2
2008-10-08,21,-17.0,29.3333,0
2011-05-03,4,16.68609,33.43256,0
2012-05-23,8,3.28,45.25,1
2008-01-17,46,-0.36774,35.28314,6
2006-02-05,8,3.11718,43.6469,0
2002-02-16,21,-17.8794,31.1244,0
2013-03-08,38,30.46687,33.78428,0
2000-03-14,35,-11.4666,16.9666,0
2015-04-29,4,15.57253,32.53635,1
1999-08-05,46,0.6328,34.2694,0
2012-12-21,43,36.50114,8.78024,0
2011-12-10,11,9.92849,8.89212,1
2014-08-19,31,4.50167,30.15733,0
2015-07-30,39,-32.94611,27.72792,0
2014-08-22,21,-17.8333,31.05,0
1999-08-10,3,8.2869,-10.0844,0
2011-11-10,8,2.05492,45.33,0
1998-10-13,48,-2.94373,25.92237,0
2010-05-11,39,-29.9,30.98333,0
2009-03-31,5,9.5091,-13.7122,0
2001-09-03,11,6.45306,3.39583,4
2012-10-31,39,-33.92528,18.42389,0
2012-03-01,11,11.84644,13.16027,3
1999-11-01,22,9.09125,-11.38501,0
2013-04-17,8,3.328,42.21988,1
2014-04-03,31,4.08991,30.67164,0
2014-09-16,38,28.23638,33.6254,0
2010-01-25,8,2.04139,45.33372,0
2011-01-07,11,9.8,8.95,9
2011-09-09,8,2.15,45.116,1
2015-01-25,8,3.59038,45.55978,1
2013-09-29,11,11.5032,11.9367,42
2000-08-15,44,3.4464,31.2703,0
2014-02-25,38,31.20168,29.94458,0
2008-06-05,21,-16.6333,32.0167,0
2013-11-19,31,6.81868,29.69952,0
2015-09-22,12,11.1106,14.0389,2
2008-08-29,39,-29.8579,31.0292,0
2009-05-13,27,5.37568,26.50548,10
2013-12-17,31,6.21437,31.56201,2
2012-06-08,11,11.84644,13.16027,9
2014-01-25,39,-29.8579,31.0292,0
2015-11-28,43,34.425,8.7417,0
2002-09-05,44,3.27833,32.88667,4
2003-04-08,11,5.51667,5.75,20
2009-09-15,48,3.88333,26.46667,0
2014-03-03,39,-29.8579,31.0292,0
2011-09-01,24,32.8925,13.18,0
2008-09-06,21,-20.0833,30.8333,0
2007-05-01,46,0.20387,35.105,0
2013-12-06,27,5.02426,25.12942,0
2010-06-27,8,2.04936,45.31986,1
2014-04-24,48,-1.0905,29.2925,0
2015-06-12,8,3.94352,43.94177,2
2008-01-18,39,-25.47288,28.09919,0
2011-02-05,6,4.4833,41.0333,5
2003-04-01,6,10.75,38.76667,10
2011-03-21,24,32.37535,15.09254,0
2011-04-23,24,32.17222,13.02028,0
2014-01-31,38,29.30995,30.8418,0
2012-04-29,31,9.25252,29.78826,0
2014-03-10,48,-8.47162,28.89659,0
2006-10-05,48,1.3333,30.0833,3
2015-11-26,35,-8.83833,13.23444,0
2012-07-31,43,36.81897,10.16579,0
2013-06-30,8,2.08438,45.39,0
2015-01-26,8,4.30328,43.34005,1
2007-04-03,27,10.27303,22.79338,0
2011-09-06,8,9.60262,43.33603,0
2012-06-22,4,15.6365,32.53034,0
2015-01-29,38,31.2878,34.2369,1
1997-06-15,22,7.90071,-12.93336,0
2009-03-20,4,15.57253,32.53635,0
2015-09-23,8,3.53918,43.7579,10
2000-01-31,22,8.27953,-10.37157,0
1997-04-02,48,-4.86667,16.98333,0
2014-11-02,13,12.3703,-1.5247,1
1999-12-28,44,2.7333,31.95,4
1998-06-20,44,2.76667,32.30556,0
1999-05-24,11,9.58333,8.3,100
2013-12-05,24,32.11766,20.12928,1
2002-01-02,8,8.4666,48.25,0
2012-02-19,39,-34.08506,18.36107,0
2014-02-01,43,36.81897,10.16579,0
2012-01-23,39,-26.20227,28.04364,0
2014-06-02,11,4.81962,6.26266,0
2002-10-19,8,3.1,43.7333,0
2015-05-05,47,13.52,2.12,0
2015-11-02,24,32.87999,13.23227,0
2013-08-03,8,2.04803,45.32,0
2009-01-21,44,2.53286,34.65747,10
2015-10-27,45,-3.56156,29.82842,7
2011-09-03,48,-10.5,26.91667,0
2015-06-30,43,33.88146,10.0982,0
2001-06-02,45,-4.3131,29.7861,1
2013-03-17,39,-23.94299,31.14107,0
2011-11-14,8,2.05492,45.33,0
1999-07-13,39,-34.06667,18.43333,0
2013-10-04,38,30.07719,31.26404,0
2006-09-29,6,9.03333,38.7,0
2013-02-18,11,7.23333,9.7,6
2012-10-02,39,-33.92528,18.42389,0
2014-05-15,9,4.91667,-7.5,13
2015-02-13,38,30.131,31.31911,1
2014-07-08,24,32.11673,20.07598,0
2013-03-26,4,15.57253,32.53635,0
2011-09-24,39,-26.26667,27.86667,0
2002-01-07,48,1.56667,30.25,40
2013-09-11,8,2.04803,45.32,0
2013-02-22,31,9.08548,28.43529,23
2012-12-04,8,2.0095,45.25,0
2004-01-07,4,13.62639,25.35594,0
2003-06-16,3,6.31,-10.8,0
2012-07-08,48,-1.1869,29.44613,0
2015-03-22,8,2.0462,45.33407,0
2008-07-15,48,1.56667,30.25,0
2012-08-06,48,1.33692,30.39609,0
2015-07-30,39,-32.94611,27.72792,0
2015-01-03,25,13.4531,-16.5775,0
2010-02-01,48,4.72173,27.67558,2
2014-12-20,30,0.3901,9.4544,1
2013-03-21,48,-6.55,25.46667,0
2003-10-05,18,14.6667,-17.44406,0
2013-10-31,11,11.59121,14.11635,27
2010-08-10,8,2.15,45.116,5
2012-10-07,8,2.0462,45.33407,4
2008-11-19,11,7.38778,3.89639,2
2015-11-07,8,1.71305,44.76388,0
2011-09-15,21,-20.3333,30.0333,0
2010-08-30,8,2.04393,45.3,6
2001-05-20,35,-5.57582,12.18712,0
1998-11-30,22,8.85251,-10.9895,0
2012-02-11,8,2.7333,41.0166,0
2009-09-21,48,4.14162,27.8997,1
2012-09-12,33,16.27167,-0.04472,0
2014-08-11,39,-34.01667,18.55,0
2013-04-12,11,11.84644,13.16027,0
2014-06-04,4,14.20647,24.64988,0
2015-04-12,38,30.07708,31.28591,0
2012-09-15,48,-0.61667,24.35,0
2011-02-05,48,3.61667,28.56667,6
2009-04-16,48,-11.55,27.31667,0
2014-02-08,8,1.7087,44.69605,0
2015-08-25,8,0.4833,42.7666,0
2001-01-12,8,2.04139,45.33372,3
2015-09-06,39,-34.01667,18.55,1
2009-05-14,16,36.79885,6.15721,0
2000-05-24,6,14.52194,39.385,0
2014-01-13,8,8.95773,46.41109,1
2015-08-21,18,14.6667,-17.44406,0
1999-04-10,11,9.08333,7.53333,0
2000-05-25,16,36.7525,3.04197,7
2012-03-15,21,-17.85806,31.03722,0
2011-12-09,8,9.74503,45.63403,0
2001-05-18,44,1.19806,30.93528,0
1997-02-12,48,1.00172,27.1573,0
2015-03-17,14,6.35,2.4333,0
2015-01-16,47,13.65,9.1833,4
2014-01-17,4,13.64546,24.08294,0
1999-02-17,10,-4.2,12.67,1
2012-12-27,24,32.19132,20.5967,1
2015-01-24,4,13.12847,24.28137,1
2000-01-18,35,-9.2666,15.1833,31
2012-08-12,16,36.75016,2.98334,0
2014-03-14,16,36.71183,4.04591,1
2014-10-04,24,32.06478,20.14933,0
2013-09-06,38,30.1704,31.41197,0
2013-07-28,24,31.60937,25.04972,0
2013-05-23,48,-6.86667,25.91667,0
2014-09-21,16,36.46667,4.28333,0
1998-02-14,22,9.12282,-12.91688,0
2013-03-31,8,8.93477,46.62065,1
2003-11-12,4,14.36375,22.45969,21
2013-08-09,38,30.00737,31.23927,0
2006-06-05,48,-2.59363,28.61458,1
2014-11-08,11,8.41667,8.73333,1
2014-08-04,24,32.81868,13.01727,0
2013-09-23,39,-33.92528,18.42389,0
2001-11-16,21,-20.15,28.58,0
2013-07-25,8,2.04393,45.3,1
2010-11-25,8,9.40701,45.06358,0
2013-07-30,38,30.02084,31.21394,5
1998-05-15,44,3.6527,31.72738,0
2012-12-25,8,2.15,45.116,0
2011-08-07,48,-4.3011,28.9441,2
2013-09-15,27,5.26667,17.65,9
2015-07-12,34,-22.52197,17.01678,0
2001-06-17,26,-3.5864,30.7203,2
2009-07-21,27,5.40385,26.49464,0
2011-05-06,48,-2.5,28.8667,0
1998-08-12,35,-10.7,22.2333,0
2002-02-05,21,-18.1833,31.55,0
2014-02-12,31,4.86086,31.61782,1
2013-06-19,39,-33.8583,18.7333,0
2014-06-01,6,6.0225,43.13028,50
2014-06-16,44,0.69389,30.26639,0
2001-05-07,11,6.20064,6.73385,9
2014-09-14,8,-1.03537,41.50047,0
1999-05-17,4,9.13169,26.97669,0
1998-12-18,35,-9.5447,16.3452,0
2002-06-07,11,9.1,9.96667,0
2012-05-17,39,-23.08333,29.88333,1
2001-02-28,46,-1.28333,36.81667,0
2007-02-13,44,2.7833,33.95,7
1999-07-17,35,-12.3833,16.9333,100
2011-07-16,34,-22.57,17.0836,0
2013-10-09,39,-27.98333,26.73333,0
2013-12-16,31,4.8803,31.56224,1
2015-09-17,24,32.8925,13.18,0
2012-10-18,39,-33.9519,18.5342,0
2002-04-17,45,-4.1333,29.8,60
2015-09-05,24,32.88311,22.18094,4
2011-08-21,31,8.09,30.73,3
2008-10-05,21,-17.8333,28.5833,0
2003-11-29,44,3.05,33.2167,10
2015-03-04,11,5.51667,5.75,0
2012-10-15,48,-1.7077,29.02117,0
1998-04-15,22,7.99179,-10.84265,0
2011-03-02,8,6.76924,47.43061,0
2013-08-18,5,10.38333,-9.3,0
2011-07-16,24,32.30912,12.56935,0
2000-06-03,45,-3.4797,30.2297,0
2011-02-03,48,-0.15867,29.2386,0
2013-05-16,8,3.11718,43.6469,0
2013-05-22,39,-26.5333,27.85,0
2014-03-07,27,4.32962,18.52299,0
2013-11-15,38,29.56472,31.28111,0
1998-10-23,48,-2.94373,25.92237,0
2012-04-18,43,36.81897,10.16579,0
2011-03-28,8,4.73598,45.20427,6
2013-06-21,38,30.07708,31.28591,0
2012-01-13,21,-17.8333,31.05,0
2003-08-18,44,2.235,32.9097,6
2013-04-20,16,36.7525,3.04197,0
2002-07-01,27,4.36197,18.58664,0
2002-04-16,4,9.5409,31.65206,0
2015-01-07,42,-25.9653,32.5892,0
1998-05-26,44,0.3156,32.5656,0
2014-01-11,18,14.76457,-17.39071,0
2015-05-27,48,-5.83728,13.44998,0
2003-09-12,44,1.96667,33.76667,0
2012-02-21,8,2.04393,45.3,0
2014-03-31,8,2.02053,45.28967,1
2012-08-10,39,-25.69129,27.49334,0
2012-06-27,24,23.3114,21.85571,0
2012-03-08,11,6.38454,5.611,0
2012-09-09,8,2.02764,45.33,1
2008-03-06,21,-17.85806,31.03722,0
2013-12-03,8,-0.0128,42.4032,0
2009-10-06,48,-1.69333,29.23389,4
2012-09-30,4,13.05973,25.18944,0
2003-12-04,44,2.7447,33.3242,7
2015-02-27,46,-1.28333,36.81667,0
2014-09-21,8,11.03675,49.18761,1
2008-01-16,39,-33.92528,18.42389,0
2007-01-17,8,2.683,45.383,0
2008-12-12,48,4.1667,29.5,0
2014-02-05,31,8.34,30.9,60
2001-06-04,45,-3.19,29.41,1
2001-08-19,4,11.93723,31.23963,15
1999-12-15,46,4.53333,35.93333,8
2014-09-16,38,26.55,31.7,0
2012-05-15,43,36.84899,10.21608,0
2015-11-12,39,-32.88031,27.39454,0
2010-05-11,48,-4.325,15.32222,0
2010-12-25,8,6.47979,46.94536,1
2013-08-01,8,2.01951,45.31,0
2009-05-13,8,3.85194,45.56512,0
2013-07-19,16,33.35608,6.86319,3
2014-02-06,27,6.99038,19.19154,1
2005-04-12,45,-3.2666,29.4833,1
2012-03-10,33,20.25812,0.9905,3
2002-06-01,4,8.78628,27.40153,0
2015-01-19,43,36.81897,10.16579,0
2013-11-06,29,18.1194,-16.0406,0
2012-02-25,8,0.40627,41.01238,0
1998-01-31,22,7.40945,-11.77127,0
2007-03-10,8,2.15,45.116,0
2012-07-27,46,0.35462,37.58218,0
2001-08-27,11,7.48333,2.8,1
2011-03-29,9,5.34111,-4.02809,6
2008-12-01,16,35.5612,5.6081,1
1998-11-21,48,2.15,21.51667,0
2012-08-11,14,9.35,2.6167,0
2007-09-14,21,-17.8333,31.05,0
2012-12-25,27,6.99038,19.19154,0
1997-10-20,44,2.46335,31.49832,1
2015-09-07,38,29.07441,31.09785,1
2013-03-19,39,-26.26667,27.86667,0
2013-05-21,11,6.61548,3.50867,1
2015-12-03,11,6.44258,7.5022,0
1998-01-19,21,-20.15,28.58,1
2015-12-28,24,30.75545,20.22626,5
2014-11-02,8,4.19008,43.64343,1
2011-12-13,24,32.66354,13.15901,1
2014-06-08,8,-0.0128,42.4032,0
2008-11-14,8,2.05492,45.33,0
2012-06-14,8,2.04764,45.35,1
2015-10-27,39,-33.9,18.63333,0
1997-06-17,35,-7.8,21.4666,0
2005-07-15,25,13.4531,-16.5775,3
2015-05-20,24,32.09709,20.12919,10
2014-03-05,4,11.95001,23.28316,0
2010-01-10,8,4.73598,45.20427,0
2014-11-12,8,10.32536,42.83736,0
1998-08-31,35,-11.9166,16.9,0
2012-09-27,4,14.66667,32.73333,4
2002-12-02,11,5.48986,6.00743,0
2014-06-13,38,30.51526,31.34606,0
2003-01-04,46,-0.7166,37.15,0
2009-11-02,44,3.4114,30.9867,1
2014-05-07,8,11.28366,49.1806,3
1998-09-15,40,-29.31667,27.48333,0
2015-04-22,39,-33.92528,18.42389,0
2014-02-22,27,4.7018,16.40378,21
1999-06-10,23,15.08333,37.16667,0
2014-10-01,39,-31.16304,28.87056,0
2014-02-11,38,31.13159,33.79844,0
2014-05-02,38,31.11278,29.76587,1
2012-11-30,39,-26.20227,28.04364,0
2015-04-29,24,32.81868,13.01727,0
1998-12-23,22,9.33847,-12.10318,0
2015-09-07,31,9.42,31.55,0
2014-04-18,31,8.29358,30.13261,0
2013-01-25,38,28.10988,30.7503,0
2014-07-29,27,4.36197,18.58664,0
2014-01-09,45,-3.4797,30.2297,0
2015-09-29,11,6.14543,6.78845,0
2015-11-03,16,36.365,6.6147,0
2000-09-04,3,8.42258,-9.75244,0
2003-04-12,21,-18.9666,32.6667,0
2000-07-04,9,9.45,-5.63333,0
2011-02-07,43,36.81897,10.16579,0
1999-03-04,35,-11.4833,16.7,300
2014-01-09,31,6.69762,29.81474,10
2014-11-16,31,9.5409,31.65206,0
2013-03-03,38,26.0514,32.2386,0
2011-03-15,9,7.26278,-8.15972,3
2015-09-04,43,34.74056,10.76028,0
1998-03-03,21,-20.15,28.58,0
2014-03-29,31,6.81868,29.69952,0
2015-03-20,39,-32.91999,27.42586,0
1997-11-27,16,36.41282,3.31007,25
2015-08-10,4,12.89999,23.48106,0
2015-11-25,31,4.86086,31.61782,0
1998-11-26,45,-3.1928,29.6389,1
2000-11-10,45,-3.4211,30.5986,2
2012-02-25,8,4.82821,43.65993,4
2000-03-25,35,-10.0,14.9,0
2013-08-04,8,2.08438,45.39,0
2000-12-10,9,9.5833,-4.3,0
2015-03-04,45,-3.1875,29.2933,0
2000-10-01,45,-3.3056,29.4153,0
2001-07-27,45,-3.3772,29.358,4
2000-06-15,22,8.55,-12.21667,0
1999-01-25,48,-4.3011,28.9441,0
1997-01-31,22,8.31715,-11.73357,0
2008-04-22,6,9.35,42.8,0
2000-05-27,23,14.69833,39.42917,0
2013-01-09,46,-3.81666,39.62688,0
2012-07-02,48,-8.64359,27.35094,1
2004-05-05,48,1.5,30.1667,0
2013-07-19,38,31.13159,33.79844,1
2015-01-24,11,4.77742,7.0134,0
2013-09-28,13,11.77,-0.36,0
2013-03-18,39,-26.48333,27.86667,0
2013-12-14,4,11.01424,29.7294,0
1998-07-21,45,-3.2333,29.9139,0
2002-08-03,48,-2.5,28.8667,10
2011-02-03,46,-0.33163,35.94494,0
2015-06-24,46,-1.45,36.98333,0
1999-08-21,45,-3.6211,29.3628,0
2015-03-07,8,3.11718,43.6469,0
1999-09-16,48,-0.95,27.05,0
2015-07-16,16,36.01065,2.36612,9
2014-11-15,4,11.40524,29.13727,0
2014-05-16,42,-25.9653,32.5892,0
2012-10-09,4,11.01424,29.7294,0
2013-06-09,43,35.16758,8.83651,0
1999-01-04,35,-9.5447,16.3452,0
2001-02-03,11,6.67972,3.27056,1
2013-10-25,11,9.31667,9.66667,2
2014-12-17,8,3.11718,43.6469,1
2015-04-03,24,32.46738,14.56874,0
2004-09-06,11,9.08333,7.53333,0
2003-05-12,44,3.4667,32.8333,1
2008-06-23,15,11.05,-0.25,5
2011-09-28,48,-5.93701,29.17853,0
2015-06-24,21,-17.8333,31.05,0
2015-03-07,27,5.40385,26.49464,0
2011-01-11,43,35.57244,8.67031,0
2011-03-11,48,-4.3011,28.9441,0
1997-02-01,48,-8.2167,26.6333,0
2015-03-13,8,3.11718,43.6469,2
2002-11-18,44,2.76667,32.30556,16
2015-01-28,4,13.27806,24.4475,0
2013-07-07,38,30.60427,32.27225,0
2014-09-04,26,-7.7666,35.7,0
1999-05-01,4,14.8333,35.85,0
2002-11-01,6,12.9167,39.6167,9
2014-07-16,31,9.30455,32.07455,0
2015-01-07,8,-0.36029,42.54626,0
2015-08-25,39,-25.74486,28.18783,0
2006-06-23,16,35.7058,4.5419,1
2012-08-06,24,32.53194,13.0175,3
2013-03-06,46,-4.03333,39.68333,0
2008-01-22,46,-0.3,36.0833,12
2013-02-10,33,19.46949,0.85599,0
2014-05-05,11,6.33505,5.62749,0
2005-12-30,8,0.66,42.25,0
2013-07-02,4,13.64546,24.08294,1
2015-11-29,39,-33.92528,18.42389,0
2011-11-29,8,2.15,45.116,0
2014-03-09,48,-0.75021,29.05846,0
2010-01-04,22,8.88333,-12.05,0
2013-12-19,8,2.87123,43.00434,2
2007-10-21,45,-3.3772,29.358,13
2011-09-07,8,2.0168,45.28,0
2013-06-21,42,-20.9725,35.00861,2
2001-06-01,35,-8.35,21.3333,0
2003-04-20,16,36.75,5.0833,0
2013-02-06,38,30.07708,31.28591,0
2000-08-08,4,7.7,29.66667,0
2012-05-07,8,2.06777,45.35,0
2002-09-04,46,0.35,37.58333,0
2013-09-07,8,9.55975,44.06678,0
2010-05-25,8,2.0168,45.28,1
2007-02-18,21,-17.8972,30.9336,0
2014-07-30,11,12.00012,8.51672,6
1998-05-22,22,9.4,-11.73333,0
2001-10-03,4,15.57253,32.53635,0
2013-09-11,8,3.85375,45.56744,2
2005-10-06,26,-7.7666,35.7,0
2015-04-24,48,-6.15,23.6,0
2000-04-10,45,-3.9725,29.4391,11
2011-02-10,11,8.48333,8.51667,2
2014-11-04,11,4.77742,7.0134,0
2004-04-15,21,-17.85,31.1833,0
2012-04-01,11,11.84644,13.16027,1
2004-12-16,48,-0.92927,29.55846,11
2015-02-03,31,8.12335,31.4289,0
2014-05-19,48,-3.46667,27.16667,0
2013-04-20,4,11.93723,31.23963,1
2014-09-19,24,32.09407,20.07105,1
2006-06-16,8,8.40635,48.48188,0
2013-09-24,27,4.12113,15.13736,2
2014-02-23,31,7.4,32.06667,183
2007-09-01,48,-1.6166,29.0,1
2006-08-21,16,34.78778,-0.57056,2
2014-06-20,38,31.20168,29.94458,0
2015-05-05,45,-3.3772,29.358,0
2014-09-16,38,31.03917,30.46914,0
2011-08-07,8,3.79999,42.54459,2
2000-03-10,48,-4.08333,28.75,60
2000-07-14,6,10.75,38.7667,0
1997-03-15,4,4.41818,32.57668,3
1998-08-12,45,-3.1036,29.3925,7
2012-08-28,8,3.16192,43.3921,1
2003-02-24,11,8.7,9.3,7
2001-11-07,45,-3.0797,29.6728,0
2010-11-09,45,-3.2308,29.46,1
2011-06-06,39,-33.88856,25.51242,0
2015-05-16,16,32.49094,3.67347,0
1998-01-15,22,7.95384,-11.10385,0
2000-07-10,45,-3.8578,29.3869,2
2009-01-07,4,13.62639,25.35594,0
2014-02-23,11,9.79399,8.86397,9
2001-01-28,4,15.24167,36.225,14
2014-05-15,39,-25.85,25.6333,2
2003-08-24,44,3.27833,32.88667,1
2013-08-16,38,26.55,31.7,1
2015-02-23,31,8.29358,30.13261,0
2015-04-15,33,15.66,0.5,3
2013-02-05,48,0.49658,29.46542,1
2014-01-25,38,31.20168,29.94458,1
2012-08-15,33,15.66,0.5,1
2014-04-23,27,4.36197,18.58664,1
2011-10-20,48,-4.325,15.32222,0
1998-05-15,22,8.8118,-12.67627,0
2000-05-12,8,2.04139,45.33372,0
2014-05-08,9,5.34111,-4.02809,0
2003-04-04,44,3.0,32.15,0
2011-05-30,48,-0.15867,29.2386,0
2010-05-19,1,-18.9386,47.5167,0
2012-10-06,39,-26.20227,28.04364,0
2014-07-11,29,18.1194,-16.0406,0
1998-03-30,35,-7.7833,15.2666,0
2007-05-10,8,2.04936,45.31986,0
2013-01-24,39,-32.7635,28.24646,0
1999-07-11,21,-17.8333,31.05,0
2008-08-30,11,4.77742,7.0134,0
2015-08-04,11,9.53333,8.9,0
2000-11-04,38,31.41648,31.81332,2
2012-07-29,39,-34.03932,18.67916,0
2012-06-05,6,9.03333,38.7,2
1999-04-28,35,-9.5447,16.3452,0
2014-08-31,4,11.46186,26.12583,0
2012-11-06,4,11.01424,29.7294,0
2011-06-30,8,2.61945,44.89357,0
2014-01-25,28,27.1418,-13.18797,0
1999-07-29,35,-12.7761,15.7391,0
2013-01-02,17,-16.32,26.68,0
2005-12-27,44,0.224,29.924,0
2011-09-26,31,9.26,31.67,2
2014-11-26,24,31.20892,16.58866,0
1998-10-05,46,-1.28333,36.81667,0
2011-02-27,8,4.73598,45.20427,0
2014-05-07,48,-1.4166,28.05,1
2015-12-16,48,1.82056,30.72194,0
2014-04-30,18,12.5833,-16.2666,0
2004-11-06,9,6.81667,-5.28333,0
2005-04-17,4,13.62639,25.35594,7
2014-12-31,27,7.21131,17.67043,5
2013-11-26,27,6.99038,19.19154,5
2012-07-19,48,0.36667,25.38333,0
2015-07-25,8,2.29829,45.79799,0
2005-02-23,44,3.27833,32.88667,10
2006-05-20,45,-3.3772,29.358,1
2014-08-14,38,29.30995,30.8418,0
2014-05-31,31,8.6,33.06667,0
1999-02-01,44,1.08056,34.175,20
2015-02-17,8,2.08438,45.39,0
2014-12-06,4,12.91688,23.48311,0
